类别	utt_id	目标词	参考文本(请照此念)	新模型asr_raw	适配后normalized
行业词汇	vocab_0996	息诉罢访	实现息诉罢访。	实现西宿霸访。	实现西宿霸访。
行业词汇	vocab_1272	警情	刑事类警情要立即上报。	刑事类近亲要立即上报。	刑事类近亲要立即上报。
行业词汇	vocab_0037	处警	两名民警赶去处警。	两名民警赶去出警。	两名民警赶去出警。
行业词汇	vocab_0997	息诉罢访	息诉罢访是最终目标。	悉数罢访是最终目标。	悉数罢访是最终目标。
行业词汇	vocab_0200	缉枪	公安机关开展缉枪行动。	公安机关开展机枪行动。	公安机关开展机枪行动。
行业词汇	vocab_1322	情指中心,警情	情指中心汇总了警情。	琴子中心汇总了警情。	琴子中心汇总了警情。
行业词汇	vocab_0129	销案	销案要有相关手续。	硝按要有相关手续。	硝按要有相关手续。
行业词汇	vocab_0201	缉枪,治爆	缉枪治爆同步推进。	机枪自爆同步推进。	机枪自爆同步推进。
行业词汇	vocab_1407	处警	就近处警节省时间。	就近出警节省时间。	就近出警节省时间。
行业词汇	vocab_1521	执法侦查装备	配备执法侦查装备。	配备执法侦察装备。	配备执法侦察装备。
行业词汇	vocab_1641	警综	在警综系统里录入。	在警钟系统里录入。	在警钟系统里录入。
行业词汇	vocab_1522	执法侦查装备	执法侦查装备已到位。	执法侦察装备已到位。	执法侦察装备已到位。
行业词汇	vocab_1642	警综	警综系统正在维护。	减钟系统正在维护。	减钟系统正在维护。
行业词汇	vocab_1409	处警	分类处警提高效率。	分类出警，提高效率。	分类出警，提高效率。
行业词汇	vocab_1457	治爆缉枪	治爆缉枪成效显著。	制暴击枪成效显著。	制暴击枪成效显著。
应用名称	appname_0044	勤指情平台,警力	勤指情平台调度警力。	停止请平台调度紧密。	勤指情平台调度紧密。
应用名称	appname_0005	警鉴	去警鉴里查一下。	去警店里查一下。	去警店里查一下。
