phase	decision	hotword	rationale
ui30	candidate_remove	任务管理	historical_ui_r1_r2_pass
ui30	candidate_remove	要素管控	historical_ui_r1_r2_pass
ui30	candidate_remove	通用辅助功能	historical_ui_r1_r2_pass
ui30	candidate_remove	自主填报	historical_ui_r1_r2_pass
ui30	candidate_remove	消息中心	historical_ui_r1_r2_pass
ui30	candidate_remove	领导审批	historical_ui_r1_r2_pass
ui30	candidate_remove	访客功能	historical_ui_r1_r2_pass
ui30	candidate_remove	人口管理模块	historical_ui_r1_r2_pass
ui30	candidate_remove	提醒信息	historical_ui_r1_r2_pass
ui30	candidate_remove	任务处理信息	historical_ui_r1_r2_pass
ui30	candidate_remove	数据统计	historical_ui_r1_r2_pass
ui30	candidate_remove	其他模块入口	historical_ui_r1_r2_pass
ui30	candidate_remove	任务签收	historical_ui_r1_r2_pass
ui30	candidate_remove	任务退回	historical_ui_r1_r2_pass
ui30	candidate_remove	任务处置	historical_ui_r1_r2_pass
ui30	candidate_remove	表单填报	historical_ui_r1_r2_pass
ui30	candidate_remove	任务赋能	historical_ui_r1_r2_pass
ui30	candidate_remove	任务上图	historical_ui_r1_r2_pass
ui30	candidate_remove	要素查看	historical_ui_r1_r2_pass
ui30	candidate_remove	要素修改	historical_ui_r1_r2_pass
ui30	candidate_remove	要素上图	historical_ui_r1_r2_pass
ui30	candidate_remove	电子签名功能	historical_ui_r1_r2_pass
ui30	candidate_remove	图片视频上传	historical_ui_r1_r2_pass
ui30	candidate_remove	语音上传	historical_ui_r1_r2_pass
ui30	candidate_remove	任务统计	historical_ui_r1_r2_pass
ui30	candidate_remove	访客模式	historical_ui_r1_r2_pass
ui30	candidate_remove	短租房屋查询	historical_ui_r1_r2_pass
ui30	candidate_remove	短租房补录	historical_ui_r1_r2_pass
ui30	candidate_remove	个人中心	historical_ui_r1_r2_pass
ui30	candidate_remove	基本信息	historical_ui_r1_r2_pass
structural6	pending_after_ui30	实有房屋采集	shorter_skeleton_available
structural6	pending_after_ui30	辖区数据统计	shorter_skeleton_available
structural6	pending_after_ui30	人员核查详情	shorter_skeleton_available
structural6	pending_after_ui30	人员核查记录	shorter_skeleton_available
structural6	pending_after_ui30	车辆核查记录	shorter_skeleton_available
structural6	pending_after_ui30	预警提醒查看	shorter_skeleton_available
hold9	require_fresh_iter250_evidence	商品质量	possible_historical_hotword_gain
hold9	require_fresh_iter250_evidence	停车牌	possible_historical_hotword_gain
hold9	require_fresh_iter250_evidence	充电器	possible_historical_hotword_gain
hold9	require_fresh_iter250_evidence	案子	possible_historical_hotword_gain
hold9	require_fresh_iter250_evidence	施工	possible_historical_hotword_gain
hold9	require_fresh_iter250_evidence	多卖	possible_historical_hotword_gain
hold9	require_fresh_iter250_evidence	新智能警务	legacy_preset_no_clean_ablation
hold9	require_fresh_iter250_evidence	启动帮写功能	customer_command_history
hold9	require_fresh_iter250_evidence	启动帮填功能	customer_command_history
