from,to,category
# round02 KeSpeech P0-P2（长短语优先；迭代时按 confusion_pairs 增补）
# P0 警单→订单
已签收订单,已签收警单,term
签收订单后,签收警单后,term
签收订单,签收警单,term
# P1 警单→紧/金/进/简
已签收金单,已签收警单,term
已签收紧单,已签收警单,term
签收紧单后,签收警单后,term
签收进单后,签收警单后,term
签收紧单,签收警单,term
签收进单,签收警单,term
签收简单后,签收警单后,term
路面纠纷简单,路面纠纷警单,term
签收简单,签收警单,term
纠纷简单,纠纷警单,term
牵手简单,签收警单,term
亲手订单,签收警单,term
# P2 处警→出警/促进
促进过程中,处警过程中,term
促进人员,处警人员,term
出警人员,处警人员,term
正处警,正在处警,term
数据车辆,处警车辆,term
# round02b：KeSpeech 回放增补
已签署订单,已签收警单,term
签署订单,签收警单,term
前收警单后,签收警单后,term
前收警单,签收警单,term
签收紧带,签收警单,term
签收近代,签收警单,term
签收近代后,签收警单后,term
以前收金单,已签收警单,term
牵手金蛋,签收警单,term
# round02c：P0-P2 提升（KeSpeech 回放增补）
签收，警单,签收警单,term
已签收，简单,已签收警单,term
签收金单后,签收警单后,term
签收金单时,签收警单时,term
一签收订单,已签收警单,term
以前收订单,已签收警单,term
以前手进单,已签收警单,term
一千手进单,已签收警单,term
亲手进单后,签收警单后,term
牵手紧单后,签收警单后,term
前收精南后,签收警单后,term
牵手紧打后,签收警单后,term
前收紧单后,签收警单后,term
前手精丹后,签收警单后,term
签收近代和青,签收警单后,term
签收紧点操作,签收警单操作,term
签收，紧点操作,签收警单操作,term
签收，简单操作,签收警单操作,term
千收紧单,签收警单,term
派发的金蛋,派发的警单,term
请及时签收金蛋,请及时签收警单,term
生成的简单,生成的警单,term
深层的简单,深层的警单,term
生存的简单,生存的警单,term
签收。简单,签收警单,term
请尽快签收。简单,请尽快签收警单,term
签收艰难时,签收警单时,term
签收精担,签收警单,term
历千收精担,签收警单,term
拳手精胆师,签收警单时,term
前首金坛时,签收警单时,term
亲手简单,签收警单,term
到场处今后,到场处警后,term
到场处，警后,到场处警后,term
处，警后,处警后,term
正在出京,正在处警,term
正在出警,正在处警,term
正在促进,正在处警,term
术景过程中,处警过程中,term
处警住过程中,处警过程中,term
出镜完毕,处警完毕,term
一班纠纷出警,一般纠纷处警,term
# P3 接警→基金/以接警
基金登记,接警登记,term
基金信息,接警信息,term
已接接警,已接警,term
以接警,已接警,term
一接警,已接警,term
借警台,接警台,term
写景台,接警台,term
接近台,接警台,term
协警台,接警台,term
机警台,接警台,term
# P4 报警人拆碎（仅用中文逗号，避免 CSV 解析歧义）
报警，人称,报警人称,term
报警，人,报警人,term
# P5 街面巡逻组近音
请请介面巡逻组,请街面巡逻组,term
截面巡逻组,街面巡逻组,term
接免巡逻组,街面巡逻组,term
介面巡逻组,街面巡逻组,term
见面巡逻组,街面巡逻组,term
界面巡逻组,街面巡逻组,term
# round03：VD 口音 TTS 回放增补（增派截断 / 处警扩展 / 已签收 / 签收截断）
# VD-P6 增派警力截断（避免 from 成为 to 前缀，防止二次替换）
暂不需要增派警,暂不需要增派警力,term
暂不需要增派。,暂不需要增派警力。,term
已请求增派。,已请求增派警力。,term
是否需要增派警,是否需要增派警力,term
暂不需要增拍警力,暂不需要增派警力,term
已请求增拍警力,已请求增派警力,term
# VD-P2 处警扩展（长短语优先；通用 出警→处警 放末尾）
出警过程中,处警过程中,term
除警过程中,处警过程中,term
储井过程中,处警过程中,term
除警途中,处警途中,term
出镜途中,处警途中,term
出行人员,处警人员,term
听出警人员,请处警人员,term
请出请人员,请处警人员,term
请出警单位,请处警单位,term
正在除警现场,正在处警现场,term
正在出警现场,正在处警现场,term
正正在处警现场,正在处警现场,term
在出警现场,正在处警现场,term
正正在处警,正在处警,term
正在除警,正在处警,term
正在出境,正在处警,term
正在出行,正在处警,term
已出警完毕,已处警完毕,term
除警现场,处警现场,term
出警结束后,处警结束后,term
出警民警,处警民警,term
现场出警时,现场处警时,term
出警途中,处警途中,term
到场出警后,到场处警后,term
出警反馈,处警反馈,term
除警,处警,term
# red-team: 裸「出警→处警」误伤 紧急出警/出警记录表；长短语规则已覆盖警务语境
# 出警,处警,term
