from,to,category
# V2 专用读音补充表（老方案 PlateNormalizer / PlateHomophoneDict 不读此文件）。
# 仅 PlateReadingMap 加载，与 plate_homophones.csv 合并为 1→N 候选。
# 来源：真机 ASR 国测语料挖掘（evaluation/.../mine_plate_homophones.py，计数≥3 + 音近人工核对）。
# 已剔除：与 plate_homophones.csv 重复项、ASCII↔ASCII 字母混淆、省份字本身作源的对齐噪声。
#
# --- 省份近音（补充，主攻 豫/晋/吉/沪/黑 真机高频听岔）---
及,吉,province
极,吉,province
即,吉,province
集,吉,province
户,沪,province
互,沪,province
护,沪,province
育,豫,province
裕,豫,province
寓,豫,province
喻,豫,province
# === 渝(yú,重庆) 省份同音：基础表/补充表把 yú/yǔ 族（2/3 声）错配给了 豫(yù,4 声）===
# 音理上 与/余/于/俞/虞/鱼/馀/雨 属渝；豫(yù) 仍由 玉/遇/预/御/育/裕/寓/喻/誉 等 4 声字承担。
# 故同时 suppress 基础表 余→豫，避免 余 两属导致平局抢牌（重庆牌占比靠它扳回）。
与,渝,province
余,渝,province
于,渝,province
俞,渝,province
虞,渝,province
鱼,渝,province
馀,渝,province
雨,渝,province
舆,渝,province
# 与 同属豫(yù)：再补 与→豫 兜底（排在 与→渝 之后，故 A-H 平局仍判渝给重庆；
# 而 P/R/S/U/V 等非渝合法字母时渝候选被合法性否决，自然回落豫，挽回河南 与S/与R/与U/与V 等）。
与,豫,province
余,豫,suppress
劲,晋,province
近,晋,province
禁,晋,province
靖,晋,province
净,晋,province
嘿,黑,province
速,苏,province
#
# --- 字母近音（补充）---
记,G,letter
计,G,letter
济,G,letter
籍,G,letter
季,G,letter
机,G,letter
纪,G,letter
基,G,letter
际,G,letter
冀,G,letter
# === 山东/上海 真机真人复测（2026-06-22）===
# 鲁豫→鲁E：机关位 yù(豫) 常被听成省份字；补 豫→E（同 冀→G 先例，位 0 仍为河南简称）。
恩,N,letter
外,Y,letter
味,Y,letter
豫,E,letter
威,V,letter
儿,R,letter
意,E,letter
溢,E,letter
亿,E,letter
奕,E,letter
艺,E,letter
璧,B,letter
闭,B,letter
弊,B,letter
帝,D,letter
定,D,letter
街,J,letter
披,P,letter
扣,Q,letter
嗯,N,letter
#
# === P5-3：结构性补全（真机国测 豫/鲁/浙/黑 高频残差，均有拼音依据）===
# --- 省份被读成 ASCII 字母 / 生僻近音字 ---
U,豫,province
卢,鲁,province
路,鲁,province
如,鲁,province
折,浙,province
遮,浙,province
昱,豫,province
# --- 发证机关字母的生僻近音（机关位）---
迪,D,letter
尔,R,letter
丕,P,letter
逸,E,letter
毅,E,letter
塞,C,letter
债,J,letter
寨,J,letter
斋,J,letter
建,J,letter
宅,J,letter
贞,J,letter
见,J,letter
癖,P,letter
屁,P,letter
各,K,letter
# --- 数字补位：机关位的数字←→同音字母（仅机关位生效；序号位走最短路保留数字）---
# 1↔E 同音(yī)、2↔R 近音(èr/ar)：如「黑160538→黑E60538」「黑225973→黑R25973」。
1,E,digit2letter
2,R,digit2letter
#
# --- 压制 base 噪声候选（仅 V2 生效）：消解等权平局选错 ---
# 优 yōu 应为 U（you），base 的 优→V(wēi) 为噪声；扣 kòu 应为 Q(kiu)，压制 扣→K(kei)。
优,V,suppress
扣,K,suppress
#
# === P5-3b：冀R 真机高频听岔（round01/jjs/dialogue/accent 挖掘）===
# 冀(jì) 真机几乎从不被识别为「冀」，最常见 G(jī,占~44%)/记(jì)/继(jì)/接(jiē)/J。
# 仅补「不与 吉(jí) 冲突」的字（及/即/极 已属吉，留给吉避免误伤吉林）；R 多保持 R，
# 少量被听成数字「2」由既有 2→R(digit2letter) 兜。冀 为河北辖区主力牌种。
G,冀,province
记,冀,province
继,冀,province
接,冀,province
J,冀,province
# R(读音近「啊R/二」) 真机/语料里高频被识别为 二(èr)/而(ér)；尔→R 已在上文。
# 作 letter 同音（risky），受锚词门控；在序号位仍可走 二→2(digit) 兜，二者由解码按合法性择优。
二,R,letter
而,R,letter
# === 辽B 真机/语料同音（雄安重点牌之二）===
# 辽(liáo) 高频被识别为 料/撩/聊/六/姚；位 0 只过省份候选，故 六→辽 不与 六→6(digit) 冲突。
# 由辖区先验[辽]在歧义时偏向辽。
料,辽,province
撩,辽,province
聊,辽,province
六,辽,province
姚,辽,province
# B(bì) 高频被识别为 别/比/碧/臂（权威位字母同音，risky，受锚词门控）。
别,B,letter
比,B,letter
碧,B,letter
臂,B,letter
# === 低风险字母同音补充（扩展既有音族，源字生僻、紧贴音、权威位+锚词门控）===
驿,E,letter
洱,R,letter
梯,T,letter
踢,T,letter
坞,U,letter
幽,U,letter
# === 皖(wǎn) 省份同音（安徽）：位 0 专用，补齐后辖区先验[冀,辽]不再把皖误纠成辽/冀 ===
宛,皖,province
晚,皖,province
完,皖,province
网,皖,province
婉,皖,province
莞,皖,province
玩,皖,province
# === 数字同音补充：期(qī)→7（同 七；ASR 常把序号尾位 七 识成 期，如 新C9023期→新C90237）===
# 仅在能凑成 GA36 合法车牌时才生效，期为常用词，靠合法性校验+锚词门控防过纠。
期,7,digit
# === 云(yún,云南) 省份同音补全：base 已有 云/芸，补 匀(yún 精确同音) ===
匀,云,province
# === 陕(shǎn,陕西) 省份同音补全：base 已有 闪，补 伞(sǎn)/散(sàn)/赏(shǎng) ===
伞,陕,province
山,陕,province
散,陕,province
赏,陕,province
# 陕 牌权威位补充：避(bì)→B（闪避→陕B 大簇，配 bì 音族），翼(yì)→E（配 驿/邑/益/意 yì 音族）
避,B,letter
翼,E,letter
# === 新(xīn,新疆) 省份同音补全：base 仅有 新，补 星/兴(xīng)/鑫(xīn)；缺省份兜底会被偏置成 辽/冀 ===
星,新,province
兴,新,province
鑫,新,province
# 新 牌权威位补充：溢(yì)→E（兴溢→新E，配 义/驿/邑 yì 音族），低(dī)→D（配 笛/滴/迪 dī 音族）
溢,E,letter
低,D,letter
# === 藏(cáng,西藏) 省份同音补全：base 已有 账，补 长(cháng)/仓(cāng)；ASR 把 cáng 听成 cháng/cāng ===
长,藏,province
仓,藏,province
# 藏 牌权威位补充：熙(xī)→C（长熙→藏C，配 C=xī），堤(dī)→D（长堤→藏D，配 笛/滴 dī 音族），译(yì)→E（藏译→藏E，配 驿/翼/疫 yì 音族）
熙,C,letter
堤,D,letter
译,E,letter
# === 青(qīng,青海) 省份同音补全：base 已有 轻/清，补 亲(qīn)/庆(qìng) ===
# 不补 新→青(新=新疆)、经→青(经济→京=北京)——跨省混淆，会误伤他省。
亲,青,province
庆,青,province
# === 宁(níng,宁夏) 省份同音：base 零同音！补 您(nín)/令(lìng)/凝/拧/柠(níng) ===
# 不补 零(líng)——它是数字 0 的口语字（零二零=020），补了会像 二→鄂 那样害优先牌冀R。
# 临/灵(líng) 太常用且近数字音，也不补，相关误识留难例。
您,宁,province
令,宁,province
凝,宁,province
拧,宁,province
柠,宁,province
# === 蒙(méng,内蒙古) 省份同音补全：base 已有 猛/梦/萌/孟，补最高频的 盟/门/闷（méng/mén/mèn）===
